TACC: Starting up job 6050088
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
Duration: 0.082793 seconds
Index	x	y	mass	fx	fy
115	55.691765	7.925478	0.100000	-2.199585	8.492188(--err)
115	55.691765	7.925478	0.100000	1295.718140	8403.540039
116	99.398224	3.814500	0.100000	-0.346069	0.377335(--err)
116	99.398224	3.814500	0.100000	90.151375	-128.630051
117	10.020185	80.075180	0.100000	-8.000000	-8.000000(--err)
117	10.020185	80.075180	0.100000	-97047264.000000	-77422696.000000
118	97.035065	50.018269	0.100000	32768.000000	0.000000(--err)
118	97.035065	50.018269	0.100000	323191701504.000000	-65764577280.000000
119	90.279388	96.318871	0.100000	-5098.000000	-21212.625000(--err)
119	90.279388	96.318871	0.100000	2181943.750000	1732609.625000
120	7.363886	55.860580	0.100000	-17385.873047	-24628.968750(--err)
120	7.363886	55.860580	0.100000	34552.480469	25844.835938
121	98.549538	13.190505	0.100000	18379666.000000	18819944.000000(--err)
121	98.549538	13.190505	0.100000	-18376684.000000	-18818938.000000
122	84.324715	47.432308	0.100000	-12.726562	-12.125977(--err)
122	84.324715	47.432308	0.100000	42457.605469	8573.679688
123	97.633949	12.252984	0.100000	-18379676.000000	-18819942.000000(--err)
123	97.633949	12.252984	0.100000	18393926.000000	18825868.000000
124	5.676781	99.477676	0.100000	-4527.562500	-368.953125(--err)
124	5.676781	99.477676	0.100000	-202634.953125	-61129.367188
125	11.477482	90.902084	0.100000	3.012695	13.544922(--err)
125	11.477482	90.902084	0.100000	12105.213867	-27332.257812
126	30.800407	92.416840	0.100000	8356.154297	-27896.863281(--err)
126	30.800407	92.416840	0.100000	6066.233398	34098.691406
127	76.182037	9.562046	0.100000	24576.000000	32768.000000(--err)
127	76.182037	9.562046	0.100000	130193981440.000000	317841735680.000000
128	26.568783	31.934074	0.100000	0.000000	0.000000(--err)
128	26.568783	31.934074	0.100000	223093964800.000000	-372887879680.000000
129	55.137897	86.296440	0.100000	-3300.968750	-2141.937500(--err)
129	55.137897	86.296440	0.100000	453377.281250	-481768.593750
130	64.095024	10.829665	0.100000	0.000000	0.000000(--err)
130	64.095024	10.829665	0.100000	-13417574400.000000	-78505136.000000
131	94.221916	63.493252	0.100000	-6.973633	5.394531(--err)
131	94.221916	63.493252	0.100000	-9333.032227	11543.743164
132	14.644164	4.242101	0.100000	53805613056.000000	38551793664.000000(--err)
132	14.644164	4.242101	0.100000	-53805608960.000000	-38551797760.000000
133	43.568428	11.679229	0.100000	2.734375	12.680908(--err)
133	43.568428	11.679229	0.100000	6606.192871	-1423.839111
134	54.260372	33.847816	0.100000	-26644.177734	1607.427490(--err)
134	54.260372	33.847816	0.100000	26167.875000	-488.341736
135	7.998100	61.624260	0.100000	1950.006592	1445.882324(--err)
135	7.998100	61.624260	0.100000	-1310.591064	-1402.135864
136	89.708397	6.547639	0.100000	-3.129883	7.080078(--err)
136	89.708397	6.547639	0.100000	8976.832031	9231.260742
137	74.814758	74.033112	0.100000	-6.375000	-10.500000(--err)
137	74.814758	74.033112	0.100000	623618.812500	631892.500000
138	53.979946	72.448708	0.100000	-1024.000000	-176.000000(--err)
138	53.979946	72.448708	0.100000	511134176.000000	137614672.000000
139	86.286095	59.656727	0.100000	-139.915894	90.688309(--err)
139	86.286095	59.656727	0.100000	-292.404663	-192.889023
140	71.926384	97.763573	0.100000	177.234222	-156.693436(--err)
140	71.926384	97.763573	0.100000	454.155548	-40.552860
